f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,timestamp,label
0.0,0.0,0.0,0.24234673,-0.29703978,-0.14296076,0.5959655,-0.50166714,-0.22543812,0.86000085,-0.6638603,-0.2969185,1.0589703,-0.8137946,-0.36839887,0.9939045,3.013918e-17,-0.10996982,1.3871286,0.01791665,-0.21444114,1.6275893,0.033947404,-0.30241698,1.8378747,0.057521984,-0.37389737,0.963729,0.23197389,-0.13196377,1.3758128,0.3573907,-0.22543812,1.645506,0.44225922,-0.31341398,1.8642782,0.51581186,-0.37939587,0.852457,0.42811447,-0.18145019,1.2221065,0.59219354,-0.2969185,1.4644532,0.67989105,-0.39039284,1.6832254,0.7534437,-0.45087624,0.6864919,0.59785146,-0.24743208,0.906207,0.851514,-0.3519034,1.0655712,1.0240799,-0.4123868,1.2145625,1.1711854,-0.45087624,2025-10-14T17:02:19.926,open
0.0,0.0,0.0,0.2480104,-0.29648992,-0.15490195,0.59772915,-0.49355364,-0.23788513,0.8697326,-0.6468255,-0.3153361,1.0734576,-0.7828888,-0.3927871,0.9924117,-1.1497619e-17,-0.12724088,1.387156,0.029605841,-0.24341735,1.6386204,0.050946668,-0.33193275,1.8549895,0.07709846,-0.4038515,0.95966023,0.23820345,-0.14936973,1.3716745,0.3683457,-0.24894956,1.650771,0.45130363,-0.33746496,1.8738633,0.5201372,-0.4093837,0.84617126,0.4281741,-0.19915965,1.2155656,0.5972974,-0.3208683,1.4576547,0.67747974,-0.4093837,1.6731606,0.74822533,-0.47023806,0.67476594,0.5964339,-0.260014,0.8991534,0.8464797,-0.37065825,1.0626639,1.0150478,-0.42598036,1.2204382,1.1608565,-0.46470585,2025-10-14T17:02:22.063,open
0.0,0.0,0.0,0.24617343,-0.2863449,-0.1549209,0.5967187,-0.48766425,-0.24344715,0.8676912,-0.63883096,-0.32644048,1.0830891,-0.77074367,-0.40390095,0.99371994,-8.671275e-18,-0.1549209,1.3958967,0.031977005,-0.2766445,1.6518972,0.063368626,-0.3707036,1.8729019,0.100274645,-0.44263119,0.9561362,0.23335798,-0.17705247,1.3721142,0.37512878,-0.28771028,1.6494328,0.46964258,-0.3817694,1.8807576,0.5442864,-0.44816408,0.8389181,0.42765355,-0.22131559,1.2137387,0.5969035,-0.35963783,1.4670285,0.67770857,-0.45369697,1.6887417,0.7468688,-0.51455873,0.66128874,0.5938537,-0.2821774,0.8975426,0.8496696,-0.40390095,1.058937,1.0245571,-0.46476275,1.216881,1.1719962,-0.50349295,2025-10-14T17:02:22.723,open
0.0,0.0,0.0,0.2516276,-0.301046,-0.14565884,0.60489523,-0.4980582,-0.22969279,0.8801139,-0.6495892,-0.30812445,1.093347,-0.7722375,-0.38655615,0.99646294,7.0686196e-17,-0.14565884,1.4062986,0.029795935,-0.2577041,1.6701785,0.06582826,-0.35294256,1.8860887,0.10649051,-0.4201697,0.9570919,0.23606817,-0.16806789,1.3851329,0.3799139,-0.26890862,1.6605405,0.47437266,-0.35854483,1.8915377,0.55610675,-0.42577198,0.8421603,0.4349387,-0.21288599,1.223523,0.60357237,-0.34173805,1.4795287,0.68681824,-0.43137425,1.6987776,0.75529224,-0.49299914,0.6613689,0.60221803,-0.2745109,0.8970906,0.85491645,-0.39215842,1.0623226,1.0280541,-0.4537833,1.2262632,1.1810338,-0.48739687,2025-10-14T17:02:23.325,open
0.0,0.0,0.0,0.25783333,-0.2960297,-0.14497115,0.6176175,-0.48929518,-0.22860834,0.89037275,-0.6422058,-0.3010939,1.0898635,-0.77900577,-0.3791553,0.99382514,-2.1792556e-16,-0.14497115,1.3964356,0.036225587,-0.2620632,1.6572407,0.062471874,-0.36242786,1.8724356,0.10129394,-0.42933762,0.9564422,0.2352471,-0.1728502,1.3738494,0.36963826,-0.27879065,1.6514221,0.45669848,-0.36800367,1.8846984,0.5314332,-0.44048923,0.83872473,0.43129677,-0.21745671,1.2147135,0.5934671,-0.3457004,1.470138,0.6743646,-0.43491343,1.6964695,0.73874474,-0.49624738,0.66282123,0.5943118,-0.27879065,0.9000078,0.8315609,-0.39588273,1.0685285,0.9977668,-0.45164087,1.2307615,1.1411674,-0.49067155,2025-10-14T17:02:23.910,open
0.0,0.0,0.0,0.2530867,-0.2933931,-0.1562686,0.59925306,-0.49014458,-0.24556492,0.8683685,-0.6404031,-0.32928026,1.071869,-0.7761326,-0.4185766,0.99688035,-1.4436697e-17,-0.1562686,1.4050062,0.03590078,-0.2846321,1.6635295,0.06505261,-0.37950945,1.88409,0.10498407,-0.4520627,0.9536681,0.23790145,-0.1841737,1.3767917,0.38441053,-0.29579413,1.6525624,0.4743032,-0.38509047,1.8790281,0.54947925,-0.4520627,0.837342,0.43502787,-0.22882186,1.2143475,0.6069394,-0.36276639,1.465747,0.68324035,-0.4520627,1.6879008,0.7432312,-0.50787294,0.65493214,0.6016902,-0.2902131,0.89358354,0.8498089,-0.40741456,1.0684009,1.017596,-0.46322474,1.2318761,1.159887,-0.49671087,2025-10-14T17:02:24.528,open
0.0,0.0,0.0,0.24551514,-0.29558486,-0.15581305,0.5980791,-0.49806362,-0.25041384,0.86993045,-0.63767636,-0.32832035,1.0817353,-0.7731062,-0.41179165,0.99944246,1.7523878e-16,-0.1613778,1.4032536,0.044585645,-0.2782376,1.6628044,0.08374908,-0.37283838,1.8802482,0.11811001,-0.44518015,0.9540513,0.23677775,-0.18363681,1.3717431,0.39178935,-0.2893671,1.6506586,0.4868475,-0.37840313,1.8812397,0.55433005,-0.44518015,0.83615816,0.43219218,-0.22815482,1.1979553,0.60656863,-0.35614413,1.4478701,0.6850814,-0.4507449,1.6736176,0.74980646,-0.5063924,0.65267247,0.5965919,-0.28380236,0.88269573,0.8559568,-0.40066212,1.0553682,1.024942,-0.4618744,1.2197368,1.1635634,-0.50082767,2025-10-14T17:02:25.089,open
0.0,0.0,0.0,0.24860439,-0.27744988,-0.151324,0.5963908,-0.4665177,-0.2502666,0.8644078,-0.62010974,-0.3433891,1.0849185,-0.7487524,-0.4423317,0.99113655,-2.7945748e-17,-0.18042478,1.3999633,0.03985053,-0.32592863,1.668732,0.065551706,-0.43651155,1.9008632,0.09480733,-0.5179937,0.95183283,0.22386014,-0.20952554,1.3878646,0.35352814,-0.3433891,1.6859573,0.43370765,-0.453972,1.9386629,0.5034973,-0.529634,0.8313243,0.41121912,-0.26190692,1.221627,0.5841554,-0.40741077,1.4800061,0.65524375,-0.5005332,1.710018,0.7198385,-0.5587348,0.6523046,0.5672718,-0.32592863,0.9083595,0.8050079,-0.453972,1.0879261,0.9595569,-0.5063534,1.2587434,1.1001616,-0.5412743,2025-10-14T17:02:25.536,open
0.0,0.0,0.0,0.24329332,-0.28035882,-0.14277092,0.60235506,-0.45618314,-0.23414432,0.880232,-0.5867125,-0.31980687,1.1003389,-0.70630175,-0.40546942,0.99867827,-1.1455292e-16,-0.16561428,1.4105134,0.04620939,-0.2969635,1.670625,0.078245744,-0.39404774,1.8801838,0.1175972,-0.4625778,0.9521423,0.23124295,-0.19987929,1.3858249,0.37493297,-0.31409603,1.6713436,0.47554865,-0.41118026,1.9098688,0.5545781,-0.48542115,0.82425815,0.41748482,-0.245566,1.2002035,0.5901741,-0.3826261,1.4459461,0.66557866,-0.47399947,1.6682084,0.7392198,-0.53110784,0.63671005,0.5659101,-0.3083852,0.8845427,0.7984266,-0.42831278,1.0491657,0.95524466,-0.48542115,1.2065389,1.0976285,-0.51968616,2025-10-14T17:02:25.913,open
0.0,0.0,0.0,0.23135127,-0.30173975,-0.14839421,0.5869302,-0.48230287,-0.22533935,0.866635,-0.6075167,-0.3022845,1.077708,-0.7384011,-0.37922964,0.9801688,1.7019613e-16,-0.13740204,1.3657337,-0.016117867,-0.2418276,1.6157299,-0.016148707,-0.3297649,1.8276659,-0.008320948,-0.40121397,0.9557918,0.24709931,-0.15938637,1.3667508,0.39240652,-0.25281978,1.6325874,0.4883123,-0.34075707,1.8464649,0.56320024,-0.41220614,0.84114856,0.44140726,-0.20885111,1.2097019,0.631185,-0.335261,1.4450904,0.7333777,-0.43968654,1.6621113,0.8234897,-0.51113564,0.6546067,0.5950045,-0.269308,0.8560645,0.8788082,-0.3902218,0.99443763,1.0684935,-0.46716696,1.1250753,1.2399343,-0.5166317,2025-10-14T17:02:26.393,open
0.0,0.0,0.0,0.23716238,-0.2853988,-0.15373209,0.58440715,-0.4793207,-0.23324868,0.865212,-0.61817265,-0.31276527,1.0747533,-0.7542109,-0.3922819,0.97873986,-2.081518e-16,-0.14312987,1.3649184,-0.016825374,-0.2597542,1.6085697,-0.0280231,-0.35517412,1.8237386,-0.02153419,-0.43469074,0.95599985,0.24301966,-0.1643343,1.3552711,0.36803234,-0.26505533,1.6078806,0.45388162,-0.34987304,1.814321,0.52893525,-0.4134863,0.84631944,0.4413632,-0.21204425,1.1940811,0.6200676,-0.34457192,1.4297504,0.7263026,-0.43999183,1.6416461,0.81967455,-0.50890625,0.66124094,0.5977296,-0.27035645,0.8197894,0.8880094,-0.4134863,0.9476733,1.0907747,-0.4930029,1.07349,1.2711444,-0.5407129,2025-10-14T17:02:26.755,open
0.0,0.0,0.0,0.23651887,-0.29182464,-0.14787464,0.59250104,-0.49569824,-0.23068444,0.8722873,-0.6215348,-0.30757925,1.0912442,-0.7502748,-0.39038906,0.98813903,-1.0424956e-16,-0.14787464,1.3868929,-0.0033990818,-0.27208933,1.6314137,-0.004957027,-0.3667291,1.8402443,0.006160742,-0.44362393,0.9520947,0.24905296,-0.17744957,1.368977,0.39606285,-0.27800432,1.6314137,0.4891125,-0.3667291,1.839253,0.56920314,-0.43770894,0.8324898,0.45328063,-0.22476946,1.1968988,0.65127665,-0.35489914,1.4356129,0.7713772,-0.4554539,1.647276,0.8677552,-0.5205187,0.6475235,0.61700267,-0.2898343,0.8373051,0.89466447,-0.419964,0.97348046,1.0903945,-0.49094382,1.1070358,1.2566658,-0.5382637,2025-10-14T17:02:27.257,open
0.0,0.0,0.0,0.25561652,-0.30048445,-0.15145679,0.6273669,-0.493373,-0.25023296,0.9319461,-0.63834435,-0.34242406,1.1508843,-0.8029182,-0.44120023,0.99545825,2.171404e-17,-0.17121203,1.3931711,0.010019033,-0.30291358,1.6463481,0.0011325773,-0.41485992,1.8733015,0.016117547,-0.49388084,0.94545007,0.25387403,-0.20413741,1.3684283,0.40790612,-0.31608373,1.6316245,0.4990359,-0.40827483,1.8623241,0.58171487,-0.48729578,0.81825167,0.45564905,-0.25681806,1.1947067,0.66029906,-0.38851961,1.4259291,0.787149,-0.47412562,1.6363292,0.8965745,-0.5333913,0.62858665,0.60515076,-0.32266882,0.8527521,0.8822865,-0.44778532,0.99920446,1.0631522,-0.49388084,1.1483577,1.2233698,-0.52680624,2025-10-14T17:02:27.805,open
0.0,0.0,0.0,0.25036767,-0.28932977,-0.15120979,0.6075204,-0.4769251,-0.25201634,0.89071727,-0.62122923,-0.3339216,1.100319,-0.77022326,-0.42212734,0.99028707,-3.4235656e-17,-0.16381061,1.383155,0.013708932,-0.28351837,1.625586,0.009740574,-0.38432488,1.834827,0.018759554,-0.45362937,0.9495211,0.25036767,-0.18901224,1.3611486,0.40982372,-0.29611918,1.6252252,0.49784926,-0.3906253,1.8405992,0.5714444,-0.4599298,0.8272234,0.45131117,-0.23941551,1.1879836,0.6641597,-0.37172407,1.4228387,0.7875398,-0.4599298,1.6364088,0.8809767,-0.52293384,0.64648247,0.6129318,-0.29611918,0.8694324,0.8892742,-0.42212734,1.0260023,1.0815594,-0.4851314,1.1753571,1.24318,-0.52293384,2025-10-14T17:02:28.183,open
0.0,0.0,0.0,0.25459307,-0.2843235,-0.14764753,0.60748506,-0.47621047,-0.24214195,0.88765603,-0.6066126,-0.32482454,1.0992237,-0.7557534,-0.41341308,0.99956393,1.347153e-18,-0.16536523,1.3966329,0.031684555,-0.29529506,1.6524471,0.03698855,-0.39569536,1.8689002,0.046794064,-0.46656618,0.9498736,0.23962316,-0.20080063,1.3624707,0.38384372,-0.30710685,1.6308124,0.4754428,-0.40160125,1.8547677,0.55085063,-0.46656618,0.8174824,0.430219,-0.25395375,1.1835996,0.6329234,-0.38388357,1.4140803,0.74214435,-0.46656618,1.6188434,0.83569753,-0.52562517,0.6336562,0.58947927,-0.31891865,0.86902213,0.85764647,-0.43703666,1.0282825,1.0414727,-0.4960957,1.1769695,1.2025824,-0.5315311,2025-10-14T17:02:28.724,open
0.0,0.0,0.0,0.24096443,-0.2521779,-0.14176153,0.57958657,-0.43079868,-0.23197341,0.8386683,-0.5749422,-0.3157416,1.0508459,-0.70084286,-0.39950976,0.99235165,-7.2575106e-17,-0.15464894,1.3916856,0.0252722,-0.28352305,1.6565833,0.025816122,-0.38662234,1.876627,0.038494065,-0.4575031,0.9572467,0.22611074,-0.18042377,1.3869157,0.36351776,-0.29641047,1.6720228,0.44561055,-0.38662234,1.9123178,0.51946056,-0.4575031,0.8386683,0.41740945,-0.23197341,1.2173326,0.585277,-0.35440382,1.4759542,0.6652777,-0.43817198,1.6999727,0.7268682,-0.49616534,0.6631019,0.57598823,-0.28996676,0.8969533,0.8108019,-0.39950976,1.0698417,0.9639832,-0.4446157,1.2305546,1.0926872,-0.47683424,2025-10-14T17:02:29.465,open
0.0,0.0,0.0,0.23429134,-0.24622613,-0.13004246,0.5853258,-0.43159428,-0.21217453,0.8496909,-0.57386464,-0.2874623,1.0685428,-0.68809766,-0.36959437,0.9891196,7.335378e-17,-0.15741982,1.4046588,0.009566786,-0.2874623,1.6665611,0.0036467083,-0.38328305,1.8873075,0.012787226,-0.45172644,0.95615685,0.22718729,-0.18479718,1.3995912,0.34719828,-0.30115095,1.6894362,0.43007874,-0.3901274,1.9251957,0.50201905,-0.45857078,0.83453566,0.4173862,-0.2395519,1.2194327,0.582721,-0.36275002,1.468169,0.6590184,-0.45172644,1.6996187,0.72229177,-0.5064812,0.64589965,0.5706441,-0.30115095,0.887816,0.7962685,-0.41750473,1.0541452,0.9459744,-0.46541512,1.2205219,1.0740366,-0.49963683,2025-10-14T17:02:29.811,open
