f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,timestamp,label
0.0,0.0,0.0,-0.3893061,-0.10093121,-0.08651247,-0.735356,-0.4181436,-0.1297687,-0.7786122,-0.7641935,-0.18744369,-0.620006,-0.98047465,-0.21628118,-0.7065185,-0.8074497,0.043256234,-0.8218685,-1.0525684,-0.14418745,-0.7065185,-0.74977475,-0.21628118,-0.63442475,-0.66326225,-0.24511866,-0.47581857,-0.8795434,0.0,-0.5911685,-1.0958246,-0.18744369,-0.49023733,-0.735356,-0.18744369,-0.43256235,-0.7065185,-0.1297687,-0.23069991,-0.8939622,-0.072093725,-0.30279365,-1.0669872,-0.27395615,-0.27395615,-0.69209975,-0.18744369,-0.24511866,-0.63442475,-0.057674978,0.043256234,-0.8939622,-0.17302494,-0.072093725,-1.0237309,-0.2595374,-0.08651247,-0.74977475,-0.15860619,-0.072093725,-0.677681,-0.057674978,2025-10-30T15:06:14.816,Fist
0.0,0.0,0.0,-0.3629292,-0.07258584,-0.08710301,-0.7258584,-0.4209979,-0.13065451,-0.71134126,-0.7694099,-0.18872319,-0.4645494,-0.9581331,-0.21775752,-0.6968241,-0.7984443,0.029034337,-0.8129614,-1.0597533,-0.15968885,-0.6968241,-0.75489277,-0.24679187,-0.60972106,-0.6823069,-0.2758262,-0.4645494,-0.8855473,0.0,-0.56616956,-1.1033047,-0.21775752,-0.47906655,-0.7403756,-0.21775752,-0.43551505,-0.71134126,-0.15968885,-0.21775752,-0.9000644,-0.101620175,-0.29034337,-1.0742705,-0.30486053,-0.26130903,-0.6968241,-0.21775752,-0.2322747,-0.6387554,-0.08710301,0.058068674,-0.9000644,-0.20324035,-0.058068674,-1.0307189,-0.29034337,-0.07258584,-0.75489277,-0.20324035,-0.043551505,-0.6823069,-0.101620175,2025-10-30T15:06:14.975,Fist
0.0,0.0,0.0,-0.39429715,-0.08762159,-0.10222519,-0.75938714,-0.43810797,-0.13143238,-0.7447835,-0.7885943,-0.18984678,-0.5111259,-0.9638375,-0.20445038,-0.71557635,-0.8031979,0.043810796,-0.8470087,-1.0660627,-0.14603598,-0.71557635,-0.75938714,-0.23365758,-0.64255834,-0.67176557,-0.26286477,-0.48191875,-0.87621593,0.0,-0.58414394,-1.1098735,-0.20445038,-0.49652237,-0.7301799,-0.20445038,-0.45271155,-0.71557635,-0.14603598,-0.23365758,-0.9054231,-0.07301799,-0.30667558,-1.0660627,-0.27746838,-0.26286477,-0.6863691,-0.18984678,-0.24826118,-0.65716195,-0.07301799,0.043810796,-0.9054231,-0.17524318,-0.058414396,-1.0368555,-0.26286477,-0.07301799,-0.77399075,-0.17524318,-0.058414396,-0.70097274,-0.07301799,2025-10-30T15:06:15.216,Fist
0.0,0.0,0.0,-0.39112097,-0.06984303,-0.09778024,-0.7543047,-0.4330268,-0.12571746,-0.6984303,-0.76827335,-0.16762328,-0.39112097,-0.8660536,-0.18159188,-0.6565245,-0.83811635,0.027937213,-0.7543047,-1.0336769,-0.13968606,-0.6844617,-0.72636753,-0.20952909,-0.61461866,-0.6704931,-0.2374663,-0.41905817,-0.9079594,0.0,-0.51683843,-1.0755826,-0.18159188,-0.4749326,-0.71239895,-0.18159188,-0.41905817,-0.6984303,-0.11174885,-0.18159188,-0.9079594,-0.06984303,-0.2654035,-1.0197083,-0.25143492,-0.25143492,-0.6565245,-0.16762328,-0.20952909,-0.6285873,-0.055874426,0.08381164,-0.8939908,-0.16762328,-0.04190582,-0.9498652,-0.2374663,-0.06984303,-0.6844617,-0.16762328,-0.027937213,-0.6425559,-0.08381164,2025-10-30T15:06:15.553,Fist
0.0,0.0,0.0,-0.3554478,-0.06582367,-0.10531787,-0.7108956,-0.42127147,-0.13164733,-0.67140144,-0.72406036,-0.17114154,-0.36861256,-0.7372251,-0.18430628,-0.5792483,-0.8557077,0.026329467,-0.68456614,-0.9610256,-0.118482605,-0.60557777,-0.68456614,-0.18430628,-0.5529188,-0.645072,-0.22380048,-0.3554478,-0.9346961,0.0,-0.44760096,-1.0005198,-0.17114154,-0.40810674,-0.6582367,-0.17114154,-0.36861256,-0.6582367,-0.10531787,-0.13164733,-0.9346961,-0.06582367,-0.21063574,-0.9083666,-0.21063574,-0.21063574,-0.592413,-0.14481208,-0.18430628,-0.60557777,-0.052658934,0.10531787,-0.8952019,-0.14481208,0.0,-0.82937825,-0.21063574,-0.026329467,-0.60557777,-0.1579768,0.0,-0.60557777,-0.09215314,2025-10-30T15:06:15.780,Fist
0.0,0.0,0.0,-0.34149867,-0.088536695,-0.088536695,-0.68299735,-0.43003538,-0.11383289,-0.632405,-0.70829356,-0.1517772,-0.32885057,-0.72094166,-0.1517772,-0.54386824,-0.8727189,0.0379443,-0.65770113,-0.93595934,-0.088536695,-0.59446067,-0.67034924,-0.16442528,-0.54386824,-0.6450531,-0.20236959,-0.3162025,-0.94860744,0.012648099,-0.41738728,-0.97390366,-0.13912909,-0.39209107,-0.65770113,-0.13912909,-0.35414678,-0.6450531,-0.088536695,-0.10118479,-0.93595934,-0.0379443,-0.1897215,-0.885367,-0.1897215,-0.1897215,-0.58181256,-0.13912909,-0.17707339,-0.58181256,-0.050592396,0.126481,-0.885367,-0.126481,0.012648099,-0.80947834,-0.1897215,-0.025296198,-0.59446067,-0.1517772,0.0,-0.56916445,-0.088536695,2025-10-30T15:06:16.083,Fist
0.0,0.0,0.0,-0.35048637,-0.08762159,-0.11682879,-0.6863691,-0.42350435,-0.17524318,-0.5695403,-0.7447835,-0.23365758,-0.24826118,-0.8470087,-0.27746838,-0.65716195,-0.81780154,0.0,-0.71557635,-1.0076483,-0.18984678,-0.6279547,-0.70097274,-0.26286477,-0.5695403,-0.65716195,-0.29207197,-0.42350435,-0.9054231,-0.029207198,-0.45271155,-1.0806663,-0.21905398,-0.40890077,-0.71557635,-0.21905398,-0.39429715,-0.71557635,-0.16063958,-0.17524318,-0.9200267,-0.10222519,-0.17524318,-1.0514591,-0.27746838,-0.17524318,-0.70097274,-0.18984678,-0.17524318,-0.6863691,-0.08762159,0.10222519,-0.9054231,-0.18984678,0.043810796,-1.0076483,-0.26286477,0.014603599,-0.75938714,-0.18984678,0.029207198,-0.71557635,-0.10222519,2025-10-30T15:06:16.316,Fist
0.0,0.0,0.0,-0.37259713,-0.10867416,-0.09314928,-0.7296694,-0.4036469,-0.13972393,-0.7296694,-0.7607191,-0.21734832,-0.4812713,-0.94701767,-0.24839808,-0.71414447,-0.8072938,0.03104976,-0.82281864,-1.040167,-0.13972393,-0.6986196,-0.7607191,-0.24839808,-0.6209952,-0.6675699,-0.27944785,-0.4657464,-0.88491815,0.0,-0.5433708,-1.1022666,-0.18629856,-0.4812713,-0.7296694,-0.20182344,-0.43469664,-0.68309474,-0.1552488,-0.21734832,-0.9004431,-0.0776244,-0.26392296,-1.0867416,-0.26392296,-0.26392296,-0.71414447,-0.20182344,-0.24839808,-0.65204495,-0.0776244,0.06209952,-0.88491815,-0.18629856,-0.03104976,-1.0246421,-0.26392296,-0.06209952,-0.7607191,-0.17077368,-0.06209952,-0.68309474,-0.0776244,2025-10-30T15:06:16.647,Fist
0.0,0.0,0.0,-0.39597827,-0.063356526,-0.110873915,-0.7602783,-0.4118174,-0.15839131,-0.79195654,-0.79195654,-0.22174783,-0.5702087,-0.9820261,-0.23758696,-0.7286,-0.77611744,0.047517393,-0.83947396,-1.0612217,-0.15839131,-0.6810826,-0.79195654,-0.26926523,-0.5860478,-0.6810826,-0.3009435,-0.49101305,-0.8711522,0.0,-0.5702087,-1.1245782,-0.2059087,-0.4593348,-0.7444391,-0.23758696,-0.42765653,-0.6652435,-0.19006957,-0.22174783,-0.9028305,-0.063356526,-0.26926523,-1.1087391,-0.28510436,-0.23758696,-0.71276087,-0.2059087,-0.23758696,-0.63356525,-0.095034786,0.047517393,-0.8869913,-0.15839131,-0.015839132,-1.0453826,-0.2534261,-0.031678263,-0.77611744,-0.17423044,-0.047517393,-0.6810826,-0.079195656,2025-10-30T15:06:16.800,Fist
0.0,0.0,0.0,-0.40941074,-0.094479404,-0.07873283,-0.74008864,-0.45665044,-0.11022597,-0.7085955,-0.8345681,-0.17321225,-0.5353833,-1.0392734,-0.18895881,-0.692849,-0.8345681,0.047239702,-0.78732836,-1.1337528,-0.15746567,-0.692849,-0.8188215,-0.26769164,-0.61411613,-0.692849,-0.2834382,-0.44090387,-0.89755434,0.0,-0.5196367,-1.1494994,-0.22045194,-0.47239703,-0.77158177,-0.23619851,-0.44090387,-0.7085955,-0.18895881,-0.18895881,-0.9133009,-0.07873283,-0.25194508,-1.1180062,-0.31493133,-0.23619851,-0.7243421,-0.22045194,-0.23619851,-0.6613558,-0.11022597,0.094479404,-0.9133009,-0.18895881,-0.015746567,-1.0392734,-0.2834382,-0.031493135,-0.75583524,-0.20470537,-0.015746567,-0.6771024,-0.094479404,2025-10-30T15:06:17.027,Fist
