f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,timestamp,label
0.0,0.0,0.0,-0.3929788,-0.10869626,-0.1505025,-0.7190676,-0.36789504,-0.22575377,-0.9448213,-0.6270938,-0.2842825,-1.1120464,-0.8695701,-0.33445,-0.46823004,-0.9030151,-0.058528755,-0.568565,-1.27091,-0.15886375,-0.6187325,-1.4883026,-0.2508375,-0.6438163,-1.6889726,-0.3177275,-0.23411502,-0.9699051,-0.06689,-0.30936626,-1.3796064,-0.14214125,-0.35117254,-1.6304438,-0.21739252,-0.3929788,-1.8394752,-0.27592126,-0.0167225,-0.9615438,-0.10869626,-0.06689,-1.3545226,-0.18394752,-0.10033501,-1.5802764,-0.24247627,-0.14214125,-1.7809464,-0.2842825,0.20067002,-0.8946538,-0.15886375,0.19230877,-1.2123814,-0.24247627,0.17558627,-1.4214126,-0.27592126,0.15886375,-1.6137214,-0.301005,2025-10-30T14:59:29.691,Open_Palm
0.0,0.0,0.0,-0.382435,-0.13658392,-0.12747833,-0.67381406,-0.42796296,-0.1821119,-0.8559259,-0.6829196,-0.22763988,-0.99250984,-0.91055954,-0.26406226,-0.33690703,-0.9469819,-0.03642238,-0.41885737,-1.3294169,-0.11837274,-0.45527977,-1.5570568,-0.20032309,-0.48259655,-1.7573799,-0.26406226,-0.10926714,-0.99250984,-0.05463357,-0.13658392,-1.4113673,-0.10926714,-0.15479511,-1.6663239,-0.1821119,-0.17300631,-1.8757526,-0.23674548,0.100161545,-0.95608747,-0.09105595,0.10926714,-1.3476281,-0.16390072,0.100161545,-1.5843736,-0.22763988,0.09105595,-1.7938023,-0.27316785,0.30959022,-0.86503154,-0.15479511,0.3733294,-1.1746218,-0.22763988,0.40975177,-1.3749448,-0.26406226,0.43706855,-1.5661623,-0.29137903,2025-10-30T14:59:32.839,Open_Palm
0.0,0.0,0.0,-0.3790613,-0.13868096,-0.13868096,-0.68415946,-0.40679753,-0.20339876,-0.8783128,-0.66566867,-0.25887114,-1.0262392,-0.8783128,-0.30509815,-0.35132512,-0.9430306,-0.07396319,-0.43453372,-1.3220919,-0.15717177,-0.4900061,-1.5532268,-0.24038035,-0.5269877,-1.7566257,-0.30509815,-0.12019017,-0.9892576,-0.08320858,-0.14792638,-1.4145459,-0.15717177,-0.16641717,-1.6734171,-0.22188956,-0.18490796,-1.8860612,-0.28660735,0.10169938,-0.952276,-0.12943557,0.12019017,-1.3498281,-0.21264416,0.12019017,-1.5902085,-0.27736193,0.10169938,-1.8028526,-0.32358894,0.31434354,-0.85982203,-0.18490796,0.40679753,-1.1649202,-0.26811653,0.4622699,-1.3683189,-0.31434354,0.5084969,-1.5624722,-0.35132512,2025-10-30T14:59:33.154,Open_Palm
0.0,0.0,0.0,-0.3720974,-0.1361332,-0.12705766,-0.67159045,-0.40839958,-0.19058648,-0.8621769,-0.65343934,-0.23596421,-1.0073856,-0.8712525,-0.28134194,-0.3539463,-0.93478125,-0.05445328,-0.44470176,-1.3068787,-0.1361332,-0.49915504,-1.5246918,-0.21781312,-0.5263817,-1.7243538,-0.28134194,-0.12705766,-0.98923457,-0.07260437,-0.16335984,-1.3976341,-0.1361332,-0.19058648,-1.6517495,-0.19966201,-0.20873757,-1.8514115,-0.2541153,0.09075546,-0.95293236,-0.10890656,0.09983101,-1.3341054,-0.19058648,0.08167992,-1.5700696,-0.24503975,0.05445328,-1.7697315,-0.2904175,0.29949304,-0.8621769,-0.17243539,0.3720974,-1.16167,-0.24503975,0.40839958,-1.3613319,-0.2904175,0.4265507,-1.5519184,-0.31764412,2025-10-30T14:59:33.606,Open_Palm
0.0,0.0,0.0,-0.38222906,-0.1274097,-0.1274097,-0.6916526,-0.39132977,-0.18201384,-0.88276714,-0.6370484,-0.236618,-1.0283782,-0.85546505,-0.27302077,-0.40043044,-0.9191699,-0.054604154,-0.50053805,-1.2922983,-0.13651039,-0.5642429,-1.5107149,-0.21841662,-0.6097464,-1.7109301,-0.28212145,-0.17291315,-0.98287475,-0.06370485,-0.21841662,-1.3924059,-0.1274097,-0.2548194,-1.6472253,-0.20021522,-0.28212145,-1.8474405,-0.2548194,0.04550346,-0.95557266,-0.10920831,0.027302077,-1.3469025,-0.18201384,0.009100692,-1.5744197,-0.236618,-0.018201385,-1.774635,-0.28212145,0.26392007,-0.87366647,-0.16381246,0.30942354,-1.18309,-0.236618,0.33672562,-1.3924059,-0.28212145,0.354927,-1.5835204,-0.30942354,2025-10-30T14:59:34.018,Open_Palm
0.0,0.0,0.0,-0.38688532,-0.026991999,-0.11696532,-0.7467786,-0.19794132,-0.17094932,-0.99870396,-0.36889064,-0.21593599,-1.1696533,-0.5308426,-0.25192532,-0.62081593,-0.7917653,-0.03598933,-0.8187573,-1.1066719,-0.11696532,-0.92672527,-1.2866186,-0.18894398,-1.0166986,-1.4485706,-0.25192532,-0.4138773,-0.9087306,-0.053983998,-0.56683195,-1.2866186,-0.107967995,-0.6658026,-1.5025545,-0.17994666,-0.7377813,-1.6825012,-0.23393065,-0.19794132,-0.9447199,-0.08997333,-0.32390398,-1.2956159,-0.16195199,-0.40487996,-1.5025545,-0.22493331,-0.48585597,-1.6825012,-0.2789173,0.026991999,-0.92672527,-0.14395732,-0.017994665,-1.2236372,-0.21593599,-0.06298133,-1.4215785,-0.26092264,-0.107967995,-1.6015252,-0.28791463,2025-10-30T14:59:34.695,Open_Palm
0.0,0.0,0.0,-0.37494692,-0.03749469,-0.1031104,-0.74989384,-0.22496815,-0.14997876,-1.002983,-0.39369425,-0.19684713,-1.19983,-0.56242037,-0.2437155,-0.599915,-0.79676217,-0.028121019,-0.8248832,-1.0967197,-0.112484075,-0.9561146,-1.2748195,-0.19684713,-1.059225,-1.4341719,-0.26246282,-0.4124416,-0.90924627,-0.056242038,-0.5811677,-1.2841932,-0.12185775,-0.6936518,-1.5091614,-0.19684713,-0.79676217,-1.6966348,-0.26246282,-0.19684713,-0.9561146,-0.112484075,-0.3468259,-1.3123142,-0.18747346,-0.4499363,-1.518535,-0.25308916,-0.54367304,-1.6966348,-0.2999575,0.028121019,-0.93736726,-0.17809978,-0.03749469,-1.2466985,-0.25308916,-0.08436305,-1.4529192,-0.29058385,-0.13123141,-1.6403928,-0.31870487,2025-10-30T14:59:35.483,Open_Palm
0.0,0.0,0.0,-0.3818458,-0.0745065,-0.12107306,-0.72643834,-0.298026,-0.16763963,-0.94995785,-0.5122322,-0.21420619,-1.1362242,-0.7078117,-0.26077273,-0.5122322,-0.85682476,-0.03725325,-0.6984984,-1.192104,-0.111759745,-0.81025815,-1.3969969,-0.19557956,-0.89407796,-1.583263,-0.26077273,-0.3073393,-0.94995785,-0.055879872,-0.44703898,-1.341117,-0.12107306,-0.52154547,-1.5925764,-0.18626624,-0.57742536,-1.7974693,-0.25145942,-0.09313312,-0.9592712,-0.10244644,-0.18626624,-1.341117,-0.18626624,-0.25145942,-1.5646365,-0.24214612,-0.31665263,-1.760216,-0.298026,0.13038637,-0.9127046,-0.16763963,0.12107306,-1.2200439,-0.25145942,0.10244644,-1.4342501,-0.28871268,0.09313312,-1.6298296,-0.31665263,2025-10-30T14:59:35.785,Open_Palm
0.0,0.0,0.0,-0.34738344,-0.19197506,-0.12798336,-0.5942085,-0.51193345,-0.19197506,-0.73133355,-0.78618354,-0.2376834,-0.8410336,-1.0238669,-0.28339174,-0.21940006,-0.9781586,-0.06399168,-0.2651084,-1.3621087,-0.15540838,-0.29253343,-1.5906504,-0.2376834,-0.31995842,-1.7917671,-0.30167508,0.01828334,-0.99644196,-0.082275026,0.027425008,-1.407817,-0.15540838,0.03656668,-1.6637838,-0.22854173,0.03656668,-1.8740422,-0.28339174,0.22854173,-0.93245023,-0.12798336,0.28339174,-1.3164004,-0.20111673,0.29253343,-1.5449421,-0.2651084,0.30167508,-1.7552005,-0.31081676,0.42965844,-0.8044669,-0.18283339,0.5210751,-1.1061419,-0.2651084,0.5759252,-1.298117,-0.30167508,0.6216335,-1.4992337,-0.31995842,2025-10-30T14:59:36.227,Open_Palm
0.0,0.0,0.0,-0.32300964,-0.2584077,-0.12920386,-0.5168154,-0.61833274,-0.18457694,-0.5998751,-0.9136559,-0.23072118,-0.65524817,-1.1720636,-0.27686542,-0.036915388,-0.9967155,-0.055373084,-0.018457694,-1.384327,-0.13843271,-0.009228847,-1.6242771,-0.22149234,0.009228847,-1.8273118,-0.2953231,0.19380578,-0.9782578,-0.073830776,0.28609425,-1.384327,-0.13843271,0.35069618,-1.6427348,-0.21226348,0.39684042,-1.8642272,-0.27686542,0.39684042,-0.87674046,-0.119975016,0.5168154,-1.2551233,-0.20303464,0.5721885,-1.4858444,-0.2584077,0.61833274,-1.6981078,-0.30455196,0.5629597,-0.71985006,-0.17534809,0.71062124,-0.98748666,-0.2584077,0.81213856,-1.1720636,-0.2953231,0.89519817,-1.3474116,-0.3137808,2025-10-30T14:59:36.626,Open_Palm
