f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,timestamp,label
0.0,0.0,0.0,-0.34040523,-0.123783715,-0.09283779,-0.6086033,-0.33008993,-0.19599089,-0.8355401,-0.48481956,-0.3094593,-0.93869317,-0.68081045,-0.41261238,-0.3094593,-0.8871167,-0.030945929,-0.56734204,-1.0727922,-0.23725213,-0.78396356,-0.9593238,-0.41261238,-0.8871167,-0.80459416,-0.5054502,-0.18567558,-0.9799544,-0.07220717,-0.3197746,-1.3616209,-0.20630619,-0.49513486,-1.5885577,-0.29914397,-0.66017985,-1.7845486,-0.35072052,-0.030945929,-0.9799544,-0.14441434,-0.01031531,-1.3822515,-0.25788274,-0.09283779,-1.6298189,-0.29914397,-0.18567558,-1.8361251,-0.3094593,0.103153095,-0.89743197,-0.23725213,0.20630619,-1.2275219,-0.29914397,0.2166215,-1.4750893,-0.29914397,0.20630619,-1.6917108,-0.27851337,2025-11-13T21:04:38.615,Pinch
0.0,0.0,0.0,-0.3436009,-0.12494578,-0.104121484,-0.61431676,-0.31236446,-0.20824297,-0.843384,-0.45813453,-0.33318874,-0.94750553,-0.6559654,-0.43731025,-0.31236446,-0.86420834,-0.041648593,-0.58308035,-1.051627,-0.2603037,-0.80173546,-0.9370934,-0.43731025,-0.9058569,-0.78091115,-0.53101957,-0.18741867,-0.97874194,-0.083297186,-0.31236446,-1.3535793,-0.22906727,-0.51019526,-1.5826466,-0.32277662,-0.69761395,-1.7700653,-0.37483734,-0.031236446,-0.9891541,-0.14577009,0.010412148,-1.3952279,-0.27071586,-0.083297186,-1.6242952,-0.31236446,-0.19783083,-1.822126,-0.31236446,0.104121484,-0.9058569,-0.23947942,0.22906727,-1.2494578,-0.3019523,0.23947942,-1.4889373,-0.3019523,0.22906727,-1.7075924,-0.28112802,2025-11-13T21:04:40.634,Pinch
0.0,0.0,0.0,-0.33318874,-0.11453363,-0.083297186,-0.59349245,-0.31236446,-0.17700653,-0.8225597,-0.45813453,-0.29154018,-0.94750553,-0.64555323,-0.3852495,-0.31236446,-0.8746205,-0.041648593,-0.5726682,-1.0620391,-0.23947942,-0.7913233,-0.94750553,-0.41648594,-0.88503265,-0.7913233,-0.49978313,-0.18741867,-0.97874194,-0.083297186,-0.32277662,-1.3639915,-0.22906727,-0.51019526,-1.5826466,-0.32277662,-0.69761395,-1.7700653,-0.37483734,-0.020824296,-0.9891541,-0.15618223,0.010412148,-1.3952279,-0.28112802,-0.072885044,-1.6347073,-0.33318874,-0.18741867,-1.822126,-0.33318874,0.11453363,-0.89544475,-0.24989156,0.23947942,-1.2390457,-0.32277662,0.2603037,-1.4889373,-0.32277662,0.2603037,-1.7075924,-0.3019523,2025-11-13T21:04:41.169,Pinch
0.0,0.0,0.0,-0.33288214,-0.11442824,-0.0936231,-0.6033489,-0.31207702,-0.19764878,-0.8426079,-0.45771295,-0.31207702,-0.936231,-0.64495915,-0.42650524,-0.32247958,-0.8738156,-0.052012835,-0.58254373,-1.0506593,-0.26006418,-0.8009977,-0.936231,-0.42650524,-0.8946208,-0.76978993,-0.52012837,-0.1872462,-0.9778413,-0.0936231,-0.33288214,-1.3523337,-0.23925903,-0.5305309,-1.5707875,-0.33288214,-0.7073746,-1.7684364,-0.38489497,-0.020805134,-0.9778413,-0.16644107,0.0,-1.3835413,-0.29127187,-0.0936231,-1.633203,-0.33288214,-0.19764878,-1.8308518,-0.3432847,0.11442824,-0.8842182,-0.24966161,0.22885647,-1.227503,-0.32247958,0.24966161,-1.4875671,-0.32247958,0.23925903,-1.706021,-0.31207702,2025-11-13T21:04:41.519,Pinch
0.0,0.0,0.0,-0.33079463,-0.10337333,-0.10337333,-0.6099026,-0.2894453,-0.19640931,-0.84766126,-0.43416795,-0.31012,-0.94069725,-0.62024,-0.4134933,-0.3514693,-0.84766126,-0.051686663,-0.62024,-1.0337332,-0.2584333,-0.8269866,-0.8993479,-0.43416795,-0.90968525,-0.7339506,-0.527204,-0.21708398,-0.97170925,-0.09303599,-0.36180663,-1.3438532,-0.23775865,-0.5478786,-1.5609372,-0.341132,-0.7339506,-1.7366718,-0.39281863,-0.04134933,-0.9820466,-0.15506,-0.04134933,-1.3852025,-0.2894453,-0.12404799,-1.6126238,-0.341132,-0.23775865,-1.8090332,-0.36180663,0.11371066,-0.8993479,-0.24809597,0.21708398,-1.2508172,-0.3204573,0.22742131,-1.4989132,-0.3204573,0.21708398,-1.7159972,-0.31012,2025-11-13T21:04:41.768,Pinch
0.0,0.0,0.0,-0.33953923,-0.092601605,-0.092601605,-0.6276331,-0.2880939,-0.17491415,-0.8539926,-0.43214083,-0.27780482,-0.915727,-0.6173441,-0.3806955,-0.3806955,-0.84370357,-0.04115627,-0.6276331,-1.0083287,-0.24693762,-0.81283635,-0.8848598,-0.42185178,-0.8848598,-0.72023475,-0.5247424,-0.23664856,-0.9671723,-0.092601605,-0.3806955,-1.3272897,-0.22635949,-0.55560964,-1.5536492,-0.33953923,-0.7099457,-1.7388524,-0.40127364,-0.04115627,-0.9774614,-0.16462508,-0.04115627,-1.3787351,-0.29838297,-0.11317974,-1.6050946,-0.36011738,-0.19549228,-1.8005868,-0.3806955,0.13375787,-0.8848598,-0.25722668,0.24693762,-1.2243991,-0.33953923,0.26751575,-1.4713367,-0.3498283,0.26751575,-1.6874071,-0.3498283,2025-11-13T21:04:42.037,Pinch
0.0,0.0,0.0,-0.34771806,-0.08181602,-0.10227002,-0.63407415,-0.26590204,-0.19431303,-0.85906816,-0.4090801,-0.30681005,-0.9408842,-0.58293915,-0.4090801,-0.3988531,-0.83861417,-0.061362013,-0.66475517,-0.9817922,-0.26590204,-0.83861417,-0.8283872,-0.4397611,-0.8999762,-0.65452814,-0.5318041,-0.25567505,-0.9613382,-0.10227002,-0.4090801,-1.3192832,-0.24544805,-0.58293915,-1.5238233,-0.35794508,-0.7465712,-1.6874553,-0.41930708,-0.061362013,-0.9613382,-0.17385903,-0.05113501,-1.3704183,-0.30681005,-0.12272403,-1.6056393,-0.37839907,-0.21476704,-1.7999524,-0.4090801,0.112497024,-0.8692952,-0.26590204,0.22499405,-1.2067863,-0.34771806,0.25567505,-1.4522343,-0.35794508,0.25567505,-1.6670014,-0.35794508,2025-11-13T21:04:43.049,Pinch
0.0,0.0,0.0,-0.32925016,-0.08231254,-0.092601605,-0.6173441,-0.26751575,-0.17491415,-0.84370357,-0.40127364,-0.27780482,-0.9260161,-0.5761878,-0.3806955,-0.39098457,-0.84370357,-0.04115627,-0.64821124,-0.9877505,-0.24693762,-0.8231254,-0.8334145,-0.42185178,-0.8848598,-0.6585003,-0.51445335,-0.23664856,-0.9671723,-0.092601605,-0.39098457,-1.3272897,-0.23664856,-0.5658987,-1.533071,-0.33953923,-0.74081284,-1.7079852,-0.4115627,-0.04115627,-0.9774614,-0.16462508,-0.020578135,-1.368446,-0.29838297,-0.08231254,-1.6050946,-0.36011738,-0.17491415,-1.8005868,-0.39098457,0.13375787,-0.8745707,-0.25722668,0.24693762,-1.21411,-0.33953923,0.26751575,-1.4507586,-0.3498283,0.26751575,-1.6771181,-0.3498283,2025-11-13T21:04:43.325,Pinch
0.0,0.0,0.0,-0.34173504,-0.08284486,-0.11391168,-0.64204764,-0.2692458,-0.20711215,-0.869871,-0.4142243,-0.32102382,-0.9423603,-0.6006252,-0.4349355,-0.40386868,-0.8388042,-0.072489254,-0.6627589,-1.004494,-0.2796014,-0.8388042,-0.8595154,-0.45564672,-0.90093786,-0.6938257,-0.5592028,-0.24853458,-0.96307147,-0.103556074,-0.4142243,-1.3151622,-0.24853458,-0.5902696,-1.5222743,-0.36244625,-0.7663149,-1.7086753,-0.4349355,-0.062133644,-0.9734271,-0.17604533,-0.051778037,-1.3669401,-0.31066823,-0.12426729,-1.6051191,-0.38315746,-0.21746776,-1.8122313,-0.4142243,0.12426729,-0.8802266,-0.25889018,0.23817897,-1.2219616,-0.35209066,0.2692458,-1.4601406,-0.37280187,0.2692458,-1.687964,-0.37280187,2025-11-13T21:04:43.721,Pinch
0.0,0.0,0.0,-0.3378269,-0.08189743,-0.09213461,-0.6347051,-0.26616666,-0.18426922,-0.85992306,-0.40948716,-0.28664103,-0.9315833,-0.5937564,-0.3890128,-0.39925,-0.8394487,-0.040948715,-0.6449423,-1.0032436,-0.2456923,-0.8189743,-0.85992306,-0.41972435,-0.8906346,-0.6961282,-0.51185894,-0.25592947,-0.9622948,-0.09213461,-0.40948716,-1.3103589,-0.22521794,-0.5835192,-1.5253397,-0.32758972,-0.7473141,-1.6993717,-0.3890128,-0.061423074,-0.97253203,-0.16379486,-0.051185895,-1.3615448,-0.28664103,-0.11260897,-1.597,-0.3480641,-0.20474358,-1.8017435,-0.37877563,0.12284615,-0.88039744,-0.2456923,0.23545513,-1.2079872,-0.3378269,0.26616666,-1.4434422,-0.3480641,0.27640384,-1.6584231,-0.3378269,2025-11-13T21:04:43.966,Pinch
