f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,timestamp,label
0.0,0.0,0.0,-0.18227775,-0.46708673,-0.04556944,-0.7063263,-0.7632881,-0.079746515,-1.139236,-0.86581933,-0.09113888,-1.4126526,-0.93417346,-0.113923594,-0.7632881,-0.8088575,-0.29620135,-1.2531595,-0.8316422,-0.37594786,-1.5949303,-0.86581933,-0.4215173,-1.8569546,-0.86581933,-0.45569438,-0.854427,-0.41012493,-0.31898606,-1.5721456,-0.35316315,-0.3645555,-1.5607532,-0.34177077,-0.3303784,-1.3784755,-0.31898606,-0.31898606,-0.8999964,-0.01139236,-0.3303784,-1.5493609,-0.01139236,-0.37594786,-1.4012603,-0.04556944,-0.27341664,-1.1620207,-0.056961797,-0.20506246,-0.88860404,0.35316315,-0.3303784,-1.4126526,0.26202425,-0.38734022,-1.2873366,0.22784719,-0.29620135,-1.0708818,0.22784719,-0.21645483,2025-10-30T15:35:01.952,PointL
0.0,0.0,0.0,-0.16053821,-0.45868063,-0.09173612,-0.71095496,-0.779757,-0.17200524,-1.2040366,-0.8256251,-0.20640628,-1.5251131,-0.8370921,-0.25227433,-0.756823,-0.76829004,-0.45868063,-1.410443,-0.79122406,-0.55041677,-1.7773874,-0.8141581,-0.5733508,-2.0755298,-0.8141581,-0.58481777,-0.8256251,-0.34401047,-0.4472136,-1.5824481,-0.33254346,-0.5389497,-1.456311,-0.34401047,-0.49308166,-1.1811026,-0.35547748,-0.4472136,-0.8600262,0.05733508,-0.42427957,-1.559514,0.0,-0.50454867,-1.3760419,-0.034401048,-0.3784115,-1.1123005,-0.034401048,-0.2981424,-0.87149316,0.41281256,-0.3898785,-1.4219099,0.27520838,-0.48161465,-1.2843057,0.24080732,-0.3898785,-1.0664325,0.26374134,-0.3096094,2025-10-30T15:35:02.551,PointL
0.0,0.0,0.0,-0.19062483,-0.45273396,-0.04765621,-0.7148431,-0.7982415,-0.10722647,-1.1199208,-0.97695225,-0.14296862,-1.3462878,-1.1914052,-0.17871077,-0.7863274,-0.8101555,-0.33359346,-1.3343738,-0.8220696,-0.42890587,-1.6917953,-0.8458977,-0.48847613,-1.9658185,-0.85781175,-0.52421826,-0.85781175,-0.3693356,-0.35742155,-1.596483,-0.3455075,-0.42890587,-1.6679672,-0.35742155,-0.4169918,-1.5845689,-0.35742155,-0.40507776,-0.8935539,0.035742156,-0.35742155,-1.596483,-0.011914052,-0.42890587,-1.4654284,-0.05957026,-0.33359346,-1.2152333,-0.07148431,-0.2501951,-0.9054679,0.40507776,-0.35742155,-1.4773424,0.2740232,-0.42890587,-1.38203,0.22636698,-0.3455075,-1.1794912,0.21445294,-0.26210913,2025-10-30T15:35:02.980,PointL
0.0,0.0,0.0,-0.18748426,-0.48042846,-0.082024366,-0.76165485,-0.76165485,-0.16404873,-1.2655188,-0.7733726,-0.21091981,-1.6287696,-0.7850904,-0.2812264,-0.74993706,-0.7733726,-0.48042846,-1.4178498,-0.8202437,-0.5741706,-1.8045361,-0.84367925,-0.60932386,-2.109198,-0.855397,-0.6327594,-0.8085259,-0.33981523,-0.48042846,-1.6170518,-0.3163797,-0.5624528,-1.5350275,-0.351533,-0.5155817,-1.3006722,-0.36325076,-0.48042846,-0.84367925,0.0703066,-0.4687107,-1.5818986,0.023435533,-0.5272995,-1.4295676,-0.0351533,-0.39840406,-1.160059,-0.058588836,-0.3163797,-0.84367925,0.42183962,-0.44527516,-1.4412854,0.3163797,-0.5155817,-1.3241076,0.24607311,-0.4335574,-1.1131879,0.24607311,-0.351533,2025-10-30T15:35:03.213,PointL
0.0,0.0,0.0,-0.16247247,-0.45260188,-0.11605177,-0.7311261,-0.719521,-0.22049835,-1.2649642,-0.6150744,-0.29012942,-1.6247247,-0.48741743,-0.3597605,-0.74273133,-0.7775468,-0.48741743,-1.3926212,-0.7543365,-0.591864,-1.7407765,-0.7659417,-0.6150744,-2.0193007,-0.7775468,-0.62667954,-0.80075717,-0.3481553,-0.48741743,-1.5550936,-0.29012942,-0.5570485,-1.508673,-0.3017346,-0.4990226,-1.2997798,-0.31333977,-0.46420708,-0.8239676,0.058025885,-0.46420708,-1.5434885,0.023210354,-0.53383815,-1.3694109,-0.023210354,-0.4061812,-1.1257021,-0.04642071,-0.33655012,-0.8355727,0.4061812,-0.4409967,-1.4042264,0.31333977,-0.52223295,-1.2765695,0.2553139,-0.4409967,-1.0792814,0.2553139,-0.37136567,2025-10-30T15:35:03.613,PointL
0.0,0.0,0.0,-0.291427,-0.4662832,-0.09714233,-0.8548525,-0.6799963,-0.18457043,-1.3308499,-0.582854,-0.24285583,-1.6611339,-0.41771203,-0.30114123,-0.84513825,-0.709139,-0.39828354,-1.5251346,-0.65085363,-0.5148544,-1.9234182,-0.6119967,-0.56342554,-2.2537022,-0.5342828,-0.5925682,-0.8548525,-0.3205697,-0.4079978,-1.5348488,-0.3205697,-0.5342828,-1.3891354,-0.37885508,-0.49542588,-1.1462795,-0.38856933,-0.4662832,-0.86456674,0.0291427,-0.4079978,-1.4765635,-0.0582854,-0.48571166,-1.291993,-0.10685656,-0.35942662,-1.0782799,-0.0874281,-0.27199852,-0.88399523,0.33999816,-0.39828354,-1.3794211,0.1748562,-0.45656896,-1.2239934,0.1165708,-0.35942662,-1.039423,0.1457135,-0.28171277,2025-10-30T15:35:03.841,PointL
0.0,0.0,0.0,-0.2019288,-0.44873065,-0.067309596,-0.74040556,-0.71796906,-0.1009644,-1.177918,-0.70675075,-0.1009644,-1.4920294,-0.59456813,-0.12340093,-0.88624305,-0.65065944,-0.21314706,-1.4135015,-0.549695,-0.25802013,-1.7163947,-0.4936037,-0.28045666,-1.9631965,-0.44873065,-0.31411144,-0.94233435,-0.25802013,-0.21314706,-1.5256842,-0.21314706,-0.23558359,-1.4583746,-0.23558359,-0.21314706,-1.2564458,-0.23558359,-0.19071053,-0.9311161,0.08974613,-0.19071053,-1.4920294,0.07852786,-0.22436532,-1.3461919,0.05609133,-0.15705572,-1.1442631,0.044873066,-0.1009644,-0.8974613,0.3926393,-0.17949226,-1.3686285,0.33654797,-0.21314706,-1.2452276,0.3028932,-0.13461919,-1.0657352,0.2916749,-0.07852786,2025-10-30T15:35:04.110,PointL
0.0,0.0,0.0,-0.20279841,-0.42812997,-0.05633289,-0.721061,-0.6872613,-0.11266578,-1.1717241,-0.6421949,-0.13519894,-1.4759218,-0.50699604,-0.18026525,-0.85625994,-0.6759947,-0.24786472,-1.3857892,-0.58586204,-0.29293102,-1.6899867,-0.5633289,-0.33799735,-1.9153183,-0.54079574,-0.3605305,-0.9238594,-0.28166446,-0.25913128,-1.5435212,-0.20279841,-0.29293102,-1.4533886,-0.23659813,-0.27039787,-1.228057,-0.24786472,-0.25913128,-0.9238594,0.090132624,-0.25913128,-1.5097214,0.090132624,-0.29293102,-1.3519894,0.045066312,-0.21406499,-1.1266578,0.033799734,-0.1577321,-0.87879306,0.40559682,-0.24786472,-1.363256,0.3492639,-0.3041976,-1.228057,0.3041976,-0.22533156,-1.0365251,0.3041976,-0.1577321,2025-10-30T15:35:04.308,PointL
0.0,0.0,0.0,-0.23667681,-0.4369418,-0.09102954,-0.76464814,-0.68272156,-0.17295612,-1.2380018,-0.65541273,-0.22757386,-1.5201933,-0.49155954,-0.28219157,-0.8101629,-0.6736186,-0.39142704,-1.4928845,-0.74644226,-0.49155954,-1.8661057,-0.7828541,-0.5188684,-2.175606,-0.80105996,-0.5370743,-0.8556777,-0.32770637,-0.40052998,-1.4473697,-0.36411816,-0.50976545,-1.2926195,-0.39142704,-0.4551477,-1.0650456,-0.38232407,-0.40963295,-0.86478066,-0.0091029545,-0.38232407,-1.374546,-0.100132495,-0.4551477,-1.2106929,-0.12744136,-0.32770637,-1.010428,-0.10923545,-0.24577977,-0.8738836,0.27308863,-0.37322113,-1.2835165,0.12744136,-0.4187359,-1.1378692,0.09102954,-0.32770637,-0.96491313,0.118338406,-0.26398566,2025-10-30T15:35:04.544,PointL
0.0,0.0,0.0,-0.21639867,-0.45557615,-0.06833642,-0.7403112,-0.72892183,-0.12528343,-1.184498,-0.77447945,-0.14806224,-1.4920119,-0.72892183,-0.19361986,-0.82003707,-0.6947536,-0.3189033,-1.2983919,-0.8428159,-0.42140794,-1.6286846,-0.9680993,-0.48974434,-1.9020303,-1.0478251,-0.54669136,-0.8883735,-0.3189033,-0.3302927,-1.5717376,-0.28473508,-0.38723972,-1.469233,-0.28473508,-0.3530715,-1.2300556,-0.27334568,-0.3302927,-0.9111523,0.06833642,-0.3075139,-1.5147907,0.045557614,-0.37585032,-1.3439496,0.0,-0.26195627,-1.0933827,0.0,-0.18223046,-0.87698406,0.41001853,-0.2961245,-1.3895072,0.3075139,-0.37585032,-1.2300556,0.27334568,-0.27334568,-1.0022675,0.2961245,-0.19361986,2025-10-30T15:35:04.815,PointL
