f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,timestamp,label
0.0,0.0,0.0,0.008336518,-0.34179726,-0.14172082,0.11671126,-0.66692144,-0.25843206,0.24175903,-0.90034395,-0.39181635,0.43349895,-0.9503631,-0.5168641,0.83365184,-0.6085658,-0.11671126,1.2004586,-0.79196924,-0.28344163,1.4088715,-0.9253535,-0.39181635,1.5839385,-1.0420648,-0.4585085,0.90034395,-0.4084894,-0.15005733,1.0337282,-0.7336136,-0.41682592,0.7336136,-0.8419883,-0.5001911,0.49185458,-0.8669979,-0.48351806,0.89200747,-0.20841296,-0.20007643,0.85032487,-0.5168641,-0.46684504,0.5001911,-0.5918928,-0.4585085,0.25843206,-0.5918928,-0.37514332,0.8003057,0.0,-0.26676857,0.7169406,-0.26676857,-0.44183546,0.45017198,-0.3668068,-0.43349895,0.25843206,-0.40015286,-0.3668068,2025-10-30T16:14:29.797,PointR
0.0,0.0,0.0,0.008325821,-0.33303282,-0.14153895,0.11656149,-0.6577398,-0.26642627,0.23312297,-0.8991886,-0.39963937,0.41629103,-0.95746934,-0.52452666,0.83258206,-0.60778487,-0.1248873,1.1989181,-0.7909529,-0.2914037,1.4070636,-0.9241661,-0.39963937,1.57358,-1.0573792,-0.47457176,0.8991886,-0.4079652,-0.1581906,1.0407275,-0.7243464,-0.42461684,0.7326722,-0.8409079,-0.507875,0.48289758,-0.8658853,-0.4912234,0.89086276,-0.20814551,-0.20814551,0.8492337,-0.51620084,-0.47457176,0.4995492,-0.59113324,-0.45792013,0.25810042,-0.59113324,-0.37466192,0.79927874,-0.008325821,-0.27475208,0.7160205,-0.2830779,-0.4495943,0.4495943,-0.37466192,-0.43294266,0.2497746,-0.4079652,-0.37466192,2025-10-30T16:14:30.113,PointR
0.0,0.0,0.0,0.008388565,-0.34393117,-0.1426056,0.11743991,-0.6710852,-0.26843408,0.23487982,-0.90596503,-0.40265113,0.41942826,-0.95629644,-0.53686816,0.83046794,-0.61236525,-0.12582847,1.2079533,-0.7969137,-0.29359978,1.4092789,-0.9395193,-0.40265113,1.5770502,-1.0653478,-0.47814822,0.89757645,-0.41103968,-0.15938273,1.0401821,-0.73819375,-0.4278168,0.73819375,-0.8472451,-0.5117025,0.48653677,-0.8724108,-0.49492535,0.8891879,-0.2181027,-0.20971413,0.8556336,-0.5284796,-0.47814822,0.5033139,-0.59558815,-0.46137106,0.26004553,-0.59558815,-0.37748542,0.7969137,-0.008388565,-0.27682266,0.713028,-0.2852112,-0.45298252,0.45298252,-0.37748542,-0.4362054,0.25165695,-0.41103968,-0.37748542,2025-10-30T16:14:30.404,PointR
0.0,0.0,0.0,0.008428397,-0.33713585,-0.13485435,0.11799755,-0.6742717,-0.2612803,0.2359951,-0.9018384,-0.38770625,0.42141983,-0.9608372,-0.5141322,0.83441126,-0.61527294,-0.12642595,1.2052608,-0.8006977,-0.28656548,1.4159706,-0.935552,-0.38770625,1.5845386,-1.061978,-0.4635618,0.9018384,-0.40456304,-0.15171114,1.0366927,-0.73327047,-0.42141983,0.7416989,-0.84283966,-0.49727538,0.488847,-0.87655324,-0.488847,0.89341,-0.20228152,-0.21070991,0.85126805,-0.5141322,-0.4719902,0.49727538,-0.58155936,-0.4551334,0.2612803,-0.58155936,-0.37084946,0.8006977,0.0,-0.2781371,0.7164137,-0.2781371,-0.4551334,0.446705,-0.37084946,-0.43827662,0.2359951,-0.39613464,-0.37084946,2025-10-30T16:14:30.686,PointR
0.0,0.0,0.0,0.008291407,-0.33994767,-0.14095391,0.116079696,-0.66331255,-0.25703362,0.23215939,-0.89547193,-0.38969612,0.42286175,-0.94522035,-0.5223586,0.82914066,-0.6052727,-0.124371104,1.1939626,-0.78768367,-0.29019922,1.3929564,-0.92863756,-0.3979875,1.5587845,-1.0530087,-0.46431878,0.90376335,-0.3979875,-0.15753673,1.0281345,-0.72964376,-0.41457033,0.72964376,-0.8374321,-0.49748442,0.4809016,-0.8705977,-0.489193,0.8871805,-0.19899376,-0.20728517,0.8374321,-0.51406723,-0.46431878,0.489193,-0.58868986,-0.45602736,0.24874221,-0.58868986,-0.3731133,0.795975,-0.008291407,-0.27361643,0.70476955,-0.28190783,-0.43944454,0.43944454,-0.3731133,-0.43115315,0.2404508,-0.3979875,-0.36482188,2025-10-30T16:14:30.904,PointR
0.0,0.0,0.0,0.008318615,-0.33274463,-0.14141646,0.11646062,-0.65717065,-0.26619568,0.23292124,-0.89009184,-0.39929354,0.42424938,-0.9400036,-0.53239137,0.84018016,-0.5989403,-0.13309784,1.1978806,-0.7736313,-0.29947016,1.3975275,-0.9150477,-0.40761217,1.5555811,-1.039827,-0.4824797,0.9067291,-0.39097494,-0.1580537,1.0315083,-0.71540093,-0.42424938,0.73203814,-0.83186156,-0.50743556,0.4824797,-0.8568174,-0.49079832,0.8984105,-0.19964677,-0.20796539,0.84018016,-0.50743556,-0.4741611,0.49079832,-0.5739845,-0.45752385,0.24123985,-0.5739845,-0.3743377,0.8069057,0.0,-0.27451432,0.71540093,-0.27451432,-0.44920525,0.44088662,-0.3743377,-0.432568,0.24123985,-0.39929354,-0.3743377,2025-10-30T16:14:31.122,PointR
0.0,0.0,0.0,0.008336518,-0.34179726,-0.13338429,0.11671126,-0.66692144,-0.25843206,0.23342252,-0.89200747,-0.38347983,0.41682592,-0.94202656,-0.5168641,0.83365184,-0.6085658,-0.11671126,1.1921221,-0.79196924,-0.28344163,1.3921986,-0.917017,-0.38347983,1.558929,-1.0420648,-0.4585085,0.90034395,-0.4084894,-0.15005733,1.0253917,-0.7336136,-0.4084894,0.72527707,-0.8419883,-0.49185458,0.48351806,-0.8669979,-0.47518155,0.89200747,-0.20841296,-0.20007643,0.8419883,-0.5168641,-0.4585085,0.49185458,-0.5835563,-0.45017198,0.25009555,-0.57521975,-0.3668068,0.80864227,-0.008336518,-0.26676857,0.7169406,-0.2751051,-0.44183546,0.45017198,-0.37514332,-0.42516243,0.25009555,-0.4084894,-0.3668068,2025-10-30T16:14:31.346,PointR
0.0,0.0,0.0,0.008370326,-0.3515537,-0.13392521,0.117184564,-0.6779964,-0.25110978,0.23436913,-0.9207359,-0.385035,0.4185163,-0.9542172,-0.5105899,0.8286623,-0.61940414,-0.117184564,1.1969566,-0.795181,-0.27622077,1.3978444,-0.9374765,-0.385035,1.5568807,-1.0630314,-0.4519976,0.8956249,-0.4185163,-0.15066586,1.0379205,-0.7365887,-0.4185163,0.7365887,-0.84540296,-0.49384925,0.49384925,-0.8705139,-0.4854789,0.8872546,-0.21762848,-0.20088783,0.84540296,-0.5273305,-0.46873826,0.49384925,-0.5942932,-0.46036795,0.25110978,-0.5942932,-0.36829436,0.8035513,-0.016740652,-0.26785043,0.71984804,-0.28459108,-0.4436273,0.4436273,-0.385035,-0.43525696,0.24273945,-0.41014597,-0.36829436,2025-10-30T16:14:31.571,PointR
0.0,0.0,0.0,0.00836476,-0.3345904,-0.15056568,0.1254714,-0.660816,-0.26767233,0.24257804,-0.8950293,-0.40150848,0.43496752,-0.95358264,-0.52697986,0.84484076,-0.60226274,-0.1254714,1.2045255,-0.7779227,-0.2927666,1.4052796,-0.9201236,-0.3931437,1.5725749,-1.045595,-0.46842656,0.9033941,-0.40150848,-0.15056568,1.045595,-0.71936935,-0.418238,0.7360989,-0.82811123,-0.5018856,0.4851561,-0.8532055,-0.4851561,0.8950293,-0.20075424,-0.20075424,0.8615703,-0.5018856,-0.46842656,0.5102504,-0.56880367,-0.45169705,0.26767233,-0.56880367,-0.36804944,0.8113817,0.0,-0.26767233,0.7360989,-0.26767233,-0.44333228,0.4600618,-0.36804944,-0.42660275,0.25930756,-0.3931437,-0.35968468,2025-10-30T16:14:31.846,PointR
0.0,0.0,0.0,0.016548717,-0.33924872,-0.14893846,0.124115385,-0.6619487,-0.27305385,0.23995641,-0.9019051,-0.40544358,0.43026665,-0.95155126,-0.52955896,0.8274359,-0.61230254,-0.124115385,1.1915077,-0.7860641,-0.28960255,1.3818179,-0.9184538,-0.39716923,1.5473051,-1.0508436,-0.47163844,0.9019051,-0.40544358,-0.14893846,1.0260205,-0.7281436,-0.41371796,0.73641795,-0.8439846,-0.48818716,0.48818716,-0.87708205,-0.47991282,0.88535637,-0.20685898,-0.19858462,0.852259,-0.5212846,-0.4633641,0.5047359,-0.5874795,-0.44681537,0.25650513,-0.59575385,-0.37234613,0.8026128,-0.016548717,-0.26477948,0.7198692,-0.28960255,-0.43854102,0.45508975,-0.3806205,-0.43026665,0.24823077,-0.4219923,-0.37234613,2025-10-30T16:14:32.119,PointR
