f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,timestamp,label
0.0,0.0,0.0,-0.31377387,-0.6132853,-0.08557469,-0.5990228,-1.2693579,-0.24246162,-0.72738487,-1.7970685,-0.38508612,-0.7416473,-2.2392044,-0.5277106,-0.4706608,-1.1267334,-0.57049793,-1.3264077,-0.9841089,-0.81295955,-1.1552583,-0.8414844,-0.87000936,-0.9127967,-0.8842718,-0.8842718,-0.37082365,-0.6845975,-0.62754774,-1.3121452,-0.58476037,-0.8414844,-1.0982085,-0.54197305,-0.7844347,-0.81295955,-0.5562355,-0.77017224,-0.34229875,-0.27098653,-0.6845975,-1.2265706,-0.21393673,-0.8842718,-1.0268962,-0.18541183,-0.75590974,-0.7416473,-0.18541183,-0.6560726,-0.37082365,0.09983714,-0.7416473,-1.112471,0.09983714,-0.8842718,-0.9413216,0.09983714,-0.7986971,-0.67033505,0.08557469,-0.7416473,2025-10-30T15:12:26.219,Thumbs_Up
0.0,0.0,0.0,-0.31698182,-0.6195554,-0.086449586,-0.6051471,-1.2967439,-0.2449405,-0.72041327,-1.8154414,-0.3746149,-0.72041327,-2.2620976,-0.51869756,-0.4610645,-1.1094364,-0.5763306,-1.3399687,-0.979762,-0.83567935,-1.1814777,-0.85008764,-0.8933124,-0.922129,-0.8933124,-0.922129,-0.3746149,-0.66278017,-0.64837193,-1.3255603,-0.5763306,-0.85008764,-1.1238446,-0.5331058,-0.79245454,-0.83567935,-0.5619223,-0.7780463,-0.36020663,-0.2449405,-0.6915967,-1.253519,-0.21612397,-0.8933124,-1.0662116,-0.18730745,-0.7492298,-0.7780463,-0.20171571,-0.66278017,-0.40343142,0.12967439,-0.7492298,-1.1526612,0.100857854,-0.87890416,-0.99417025,0.086449586,-0.80686283,-0.72041327,0.072041325,-0.7348215,2025-10-30T15:12:26.330,Thumbs_Up
0.0,0.0,0.0,-0.32034186,-0.600641,-0.093433045,-0.5472507,-1.2413248,-0.25360397,-0.62733614,-1.7485327,-0.38707975,-0.6139886,-2.1756551,-0.52055556,-0.3603846,-1.1478916,-0.5472507,-1.1745869,-1.0277635,-0.7741595,-1.0678062,-0.854245,-0.8275498,-0.8275498,-0.854245,-0.8275498,-0.25360397,-0.74746436,-0.6139886,-1.1345441,-0.62733614,-0.8008547,-0.9610256,-0.5339031,-0.74746436,-0.69407403,-0.5472507,-0.7207692,-0.21356125,-0.3603846,-0.6673789,-1.0544586,-0.28029913,-0.854245,-0.8942877,-0.21356125,-0.7207692,-0.6406837,-0.21356125,-0.6406837,-0.25360397,0.0,-0.7207692,-0.9610256,0.026695156,-0.854245,-0.8275498,0.040042732,-0.7741595,-0.5739458,0.040042732,-0.7207692,2025-10-30T15:12:26.557,Thumbs_Up
0.0,0.0,0.0,-0.37891293,-0.8714998,-0.2841847,-0.5115325,-1.6482713,-0.45469552,-0.49258682,-2.2545319,-0.587315,-0.3978586,-2.8039558,-0.7199346,0.05683694,-1.4588149,-0.49258682,-1.0988475,-1.1935757,-0.7957172,-1.0988475,-1.0609562,-0.98517364,-0.7957172,-1.1556845,-1.0799018,0.20840211,-0.83360845,-0.5115325,-1.0420105,-0.6630976,-0.75782585,-0.8904454,-0.6630976,-0.7957172,-0.5683694,-0.7199346,-0.8714998,0.24629341,-0.2841847,-0.54942375,-0.9472823,-0.15156518,-0.8146628,-0.83360845,-0.15156518,-0.7199346,-0.5115325,-0.20840211,-0.6630976,0.20840211,0.20840211,-0.62520635,-0.75782585,0.30313036,-0.8146628,-0.6820433,0.2841847,-0.75782585,-0.3599673,0.22734776,-0.7199346,2025-10-30T15:12:26.717,Thumbs_Up
0.0,0.0,0.0,-0.4175611,-0.8714319,-0.27232248,-0.5264901,-1.6702445,-0.4175611,-0.49018043,-2.2693539,-0.5083353,-0.38125145,-2.7776892,-0.5991094,0.14523865,-1.4886962,-0.36309662,-0.90774155,-1.2163737,-0.65357393,-0.8714319,-1.1255995,-0.8351222,-0.56279975,-1.2163737,-0.9440512,0.30863214,-0.8714319,-0.38125145,-0.8714319,-0.6898836,-0.5991094,-0.72619325,-0.6898836,-0.65357393,-0.39940628,-0.7625029,-0.7443481,0.3449418,-0.32678697,-0.4175611,-0.78065777,-0.2360128,-0.65357393,-0.6898836,-0.21785797,-0.5809546,-0.38125145,-0.27232248,-0.5264901,0.30863214,0.14523865,-0.49018043,-0.56279975,0.19970314,-0.67172873,-0.5083353,0.19970314,-0.6172643,-0.25416765,0.18154831,-0.56279975,2025-10-30T15:12:26.878,Thumbs_Up
0.0,0.0,0.0,-0.31626365,-0.6325273,-0.3313238,-0.3915645,-1.3403554,-0.48192555,-0.30120346,-1.8674614,-0.5722866,-0.18072207,-2.364447,-0.6024069,0.31626365,-1.2048138,-0.3915645,-0.5572264,-0.9789113,-0.6626476,-0.48192555,-0.81324935,-0.81324935,-0.18072207,-0.85842985,-0.9036104,0.48192555,-0.79818916,-0.36144415,-0.52710605,-0.52710605,-0.5722866,-0.3313238,-0.51204586,-0.6174671,-0.030120347,-0.58734673,-0.6777078,0.52710605,-0.37650433,-0.36144415,-0.42168486,-0.15060173,-0.58734673,-0.24096277,-0.15060173,-0.54216623,0.04518052,-0.2259026,-0.4969857,0.4969857,0.04518052,-0.40662467,-0.2259026,0.21084243,-0.58734673,-0.075300865,0.1656619,-0.6024069,0.21084243,0.09036104,-0.6024069,2025-10-30T15:12:27.066,Thumbs_Up
0.0,0.0,0.0,-0.3472434,-0.58400023,-0.39459476,-0.37881097,-1.2784871,-0.56821644,-0.25254065,-1.7993522,-0.6629192,-0.09470274,-2.3044333,-0.7102706,0.39459476,-1.0890815,-0.4892975,-0.5208651,-0.83654094,-0.7260544,-0.47351372,-0.7102706,-0.8523247,-0.1736217,-0.75762194,-0.94702744,0.61556786,-0.6629192,-0.42616236,-0.4892975,-0.3314596,-0.5997841,-0.29989204,-0.3630272,-0.61556786,0.03156758,-0.44194615,-0.6629192,0.6629192,-0.22097307,-0.39459476,-0.3630272,0.06313516,-0.58400023,-0.20518927,0.0,-0.47351372,0.11048654,-0.11048654,-0.39459476,0.63135165,0.23675686,-0.42616236,-0.15783791,0.41037855,-0.61556786,-0.03156758,0.3472434,-0.61556786,0.25254065,0.23675686,-0.5997841,2025-10-30T15:12:27.227,Thumbs_Up
0.0,0.0,0.0,-0.12478692,-0.42115584,-0.2651722,-0.06239346,-0.982697,-0.42115584,0.10918856,-1.4194512,-0.5459428,0.18718038,-1.840607,-0.6707297,0.15598366,-0.95150024,-0.6083362,0.10918856,-1.2478693,-0.8891068,0.17158201,-1.5286398,-1.0918856,0.23397547,-1.7782136,-1.2478693,0.38995913,-0.71752477,-0.5771395,-0.18718038,-0.51474607,-0.8579101,-0.14038529,-0.34316403,-0.9203035,0.015598365,-0.23397547,-0.96709865,0.46795094,-0.35876238,-0.5771395,-0.12478692,-0.14038529,-0.8423117,-0.046795096,-0.046795096,-0.7955166,0.09359019,0.046795096,-0.7643199,0.48354933,0.0,-0.59273785,0.0,0.14038529,-0.87350845,0.046795096,0.20277874,-0.8891068,0.20277874,0.2651722,-0.8891068,2025-10-30T15:12:27.381,Thumbs_Up
0.0,0.0,0.0,-0.29929417,-0.5819609,-0.3990589,-0.31592163,-1.280314,-0.5819609,-0.23278436,-1.795765,-0.69835305,-0.09976473,-2.3278437,-0.7482354,0.41568634,-1.0807846,-0.5154511,-0.5320785,-0.81474525,-0.7814903,-0.5154511,-0.69835305,-0.93113744,-0.2161569,-0.731608,-1.0309021,0.63184327,-0.63184327,-0.44894126,-0.4988236,-0.29929417,-0.66509813,-0.31592163,-0.33254907,-0.6817256,0.033254907,-0.3990589,-0.731608,0.69835305,-0.16627453,-0.44894126,-0.38243145,0.09976473,-0.66509813,-0.2161569,0.06650981,-0.548706,0.11639218,-0.049882364,-0.44894126,0.66509813,0.29929417,-0.48219615,-0.182902,0.46556872,-0.71498054,-0.06650981,0.3990589,-0.69835305,0.2494118,0.29929417,-0.66509813,2025-10-30T15:12:27.489,Thumbs_Up
0.0,0.0,0.0,-0.30151135,-0.71410584,-0.31738037,-0.36498743,-1.3964736,-0.49193957,-0.28564233,-1.9201512,-0.5871537,-0.19042823,-2.42796,-0.65062976,0.3332494,-1.2377834,-0.46020153,-0.6188917,-1.0314862,-0.72997487,-0.55541563,-0.90453404,-0.856927,-0.23803528,-0.9680101,-0.9362721,0.46020153,-0.77758193,-0.4284635,-0.6188917,-0.57128465,-0.65062976,-0.4284635,-0.57128465,-0.6823678,-0.12695214,-0.65062976,-0.71410584,0.47607055,-0.3332494,-0.4443325,-0.5395466,-0.1745592,-0.6823678,-0.38085645,-0.19042823,-0.6188917,-0.07934509,-0.25390428,-0.57128465,0.4125945,0.09521411,-0.49193957,-0.38085645,0.19042823,-0.6823678,-0.25390428,0.14282116,-0.6982368,0.031738035,0.07934509,-0.6823678,2025-10-30T15:12:28.381,Thumbs_Up
